,xst,yst,xin,yin,exitcell,exitface,dtau,tsum,line
724,250.0,850.8571759756801,2.057774211851214,1000.0,48.0,3.0,677.0005300847761,7282.40737951493,91
725,,,,,,,22.26179875333927,7304.669178268269,91
726,1584.3023255813953,1250.0,1584.3023255813953,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,92
727,1500.0,1484.2601507711784,1584.3023255813953,1250.0,86.0,1.0,51.12060399873481,62.25150337540444,92
728,1477.527808579977,1500.0,1500.0,1484.2601507711784,85.0,4.0,10.278025830492684,72.52952920589712,92
729,1336.1637263721545,1750.0,1477.527808579977,1500.0,101.0,4.0,195.81768853442048,268.3472177403176,92
730,1353.7633388231914,2000.0,1336.1637263721545,1750.0,117.0,4.0,406.93252864533645,675.2797463856541,92
731,1500.0,2146.236661176817,1353.7633388231914,2000.0,133.0,3.0,687.9247277375522,1363.2044741232062,92
732,1750.0,2177.4256225633308,1500.0,2146.236661176817,134.0,3.0,650.7878693967812,2013.9923435199873,92
733,1793.2599605818127,2000.0,1750.0,2177.4256225633308,135.0,2.0,133.38150586827177,2147.3738493882593,92
734,,,,,,,22.26179875333927,2169.6356481415987,92
735,1590.1162790697674,1250.0,1590.1162790697674,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,93
736,1500.2871827097142,1500.0,1590.1162790697674,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,93
737,1500.0,1501.6523386698861,1500.2871827097142,1500.0,102.0,1.0,0.5218256117701006,67.60038688679212,93
738,1369.8033807833801,1750.0,1500.0,1501.6523386698861,101.0,4.0,194.73849871853835,262.33888560533046,93
739,1464.3920961868212,2000.0,1369.8033807833801,1750.0,117.0,4.0,406.93252864533645,669.2714142506669,93
740,1500.0,2035.6079038131818,1464.3920961868212,2000.0,133.0,3.0,120.20565884567611,789.477073096343,93
741,1750.0,2100.049419336682,1500.0,2035.6079038131818,134.0,3.0,650.7878693967812,1440.2649424931242,93
742,1774.3940749605836,2000.0,1750.0,2100.049419336682,135.0,2.0,63.139179310778836,1503.404121803903,93
743,,,,,,,22.26179875333927,1525.6659205572423,93
744,1595.9302325581396,1250.0,1595.9302325581396,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,94
745,1511.4396540317998,1500.0,1595.9302325581396,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,94
746,1500.0,1565.8193619862197,1511.4396540317998,1500.0,102.0,1.0,21.740872261840813,88.81943353686285,94
747,1403.4430351946032,1750.0,1500.0,1565.8193619862197,101.0,4.0,150.99244585758566,239.8118793944485,94
748,1500.0,1952.22357311642,1403.4430351946032,1750.0,117.0,3.0,282.9131300365201,522.7250094309686,94
749,1674.567907976103,2000.0,1500.0,1952.22357311642,118.0,4.0,167.57989447938627,690.3049039103548,94
750,1750.0,2022.6732161100388,1674.567907976103,2000.0,134.0,3.0,173.06797727367936,863.3728811840342,94
751,1755.528189339356,2000.0,1750.0,2022.6732161100388,135.0,2.0,12.518308260239976,875.8911894442742,94
752,,,,,,,22.26179875333927,898.1529881976135,94
753,1601.7441860465117,1250.0,1601.7441860465117,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,95
754,1522.5921253538856,1500.0,1601.7441860465117,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,95
755,1500.0,1629.9863853025547,1522.5921253538856,1500.0,102.0,1.0,45.0731439181095,112.15170519313153,95
756,1437.0826896058275,1750.0,1500.0,1629.9863853025547,101.0,4.0,103.21634495366416,215.3680501467957,95
757,1500.0,1881.7705392296393,1437.0826896058275,1750.0,117.0,3.0,156.2075233242432,371.57557347103887,95
758,1750.0,1989.8734924210878,1500.0,1881.7705392296393,118.0,3.0,202.535771654058,574.1113451250969,95
759,,,,,,,22.26179875333927,596.3731438784362,95
760,1607.5581395348836,1250.0,1607.5581395348836,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,96
761,1533.744596675971,1500.0,1607.5581395348836,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,96
762,1500.0,1694.153408618887,1533.744596675971,1500.0,102.0,1.0,70.98658862656087,138.0651499015829,96
763,1470.7223440170508,1750.0,1500.0,1694.153408618887,101.0,4.0,50.59162399047744,188.65677389206036,96
764,1500.0,1811.3175053428606,1470.7223440170508,1750.0,117.0,3.0,63.97578464434592,252.6325585364063,96
765,1750.0,1975.549764418231,1500.0,1811.3175053428606,118.0,3.0,202.535771654058,455.1683301904643,96
766,,,,,,,22.26179875333927,477.4301289438036,96
767,1613.3720930232557,1250.0,1613.3720930232557,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,97
768,1544.8970679980566,1500.0,1613.3720930232557,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,97
769,1502.17911673271,1750.0,1544.8970679980566,1500.0,102.0,4.0,96.13525938759285,163.21382066261486,97
770,1750.0,1961.2260364153738,1502.17911673271,1750.0,118.0,3.0,198.2656658435126,361.4794865061275,97
771,,,,,,,22.26179875333927,383.7412852594668,97
772,1619.1860465116279,1250.0,1619.1860465116279,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,98
773,1556.0495393201425,1500.0,1619.1860465116279,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,98
774,1518.9844262749873,1750.0,1556.0495393201425,1500.0,102.0,4.0,96.13525938759285,163.21382066261486,98
775,1750.0,1946.902308412516,1518.9844262749873,1750.0,118.0,3.0,169.41683905721297,332.6306597198278,98
776,,,,,,,22.26179875333927,354.8924584731671,98
777,1625.0,1250.0,1625.0,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,99
778,1567.202010642228,1500.0,1625.0,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,99
779,1535.7897358172643,1750.0,1567.202010642228,1500.0,102.0,4.0,96.13525938759285,163.21382066261486,99
780,1750.0,1932.5785804096583,1535.7897358172643,1750.0,118.0,3.0,145.91861097240582,309.1324316350207,99
781,,,,,,,22.26179875333927,331.39423038836,99
782,1630.8139534883721,1250.0,1630.8139534883721,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,100
783,1578.354481964314,1500.0,1630.8139534883721,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,100
784,1552.5950453595415,1750.0,1578.354481964314,1500.0,102.0,4.0,96.13525938759285,163.21382066261486,100
785,1750.0,1918.2548524068004,1552.5950453595415,1750.0,118.0,3.0,126.09336185525372,289.30718251786857,100
786,,,,,,,22.26179875333927,311.56898127120786,100
787,1636.6279069767443,1250.0,1636.6279069767443,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,101
788,1589.5069532863995,1500.0,1636.6279069767443,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,101
789,1569.4003549018182,1750.0,1589.5069532863995,1500.0,102.0,4.0,96.13525938759285,163.21382066261486,101
790,1750.0,1903.931124403943,1569.4003549018182,1750.0,118.0,3.0,108.94656829274516,272.16038895536,101
791,,,,,,,22.26179875333927,294.4221877086993,101
792,1642.4418604651164,1250.0,1642.4418604651164,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,102
793,1600.6594246084853,1500.0,1642.4418604651164,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,102
794,1586.2056644440954,1750.0,1600.6594246084853,1500.0,102.0,4.0,96.13525938759285,163.21382066261486,102
795,1750.0,1889.607396401085,1586.2056644440954,1750.0,118.0,3.0,93.83988575248239,257.0537064150973,102
796,,,,,,,22.26179875333927,279.3155051684366,102
797,1648.2558139534883,1250.0,1648.2558139534883,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,103
798,1611.8118959305707,1500.0,1648.2558139534883,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,103
799,1603.010973986372,1750.0,1611.8118959305707,1500.0,102.0,4.0,96.13525938759285,163.21382066261486,103
800,1750.0,1875.2836683982277,1603.010973986372,1750.0,118.0,3.0,80.3390636854794,243.55288434809427,103
801,,,,,,,22.26179875333927,265.81468310143356,103
802,1654.0697674418604,1250.0,1654.0697674418604,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,104
803,1622.9643672526563,1500.0,1654.0697674418604,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,104
804,1619.816283528649,1750.0,1622.9643672526563,1500.0,102.0,4.0,96.13525938759285,163.21382066261486,104
805,1750.0,1860.95994039537,1619.816283528649,1750.0,118.0,3.0,68.13526015380994,231.34908081642482,104
806,,,,,,,22.26179875333927,253.61087956976408,104
807,1659.8837209302326,1250.0,1659.8837209302326,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,105
808,1634.1168385747421,1500.0,1659.8837209302326,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,105
809,1636.621593070926,1750.0,1634.1168385747421,1500.0,102.0,4.0,96.13525938759285,163.21382066261486,105
810,1750.0,1846.636212392512,1636.621593070926,1750.0,118.0,3.0,57.00096467496286,220.21478533757772,105
811,,,,,,,22.26179875333927,242.476584090917,105
812,1665.6976744186045,1250.0,1665.6976744186045,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,106
813,1645.2693098968273,1500.0,1665.6976744186045,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,106
814,1653.4269026132022,1750.0,1645.2693098968273,1500.0,102.0,4.0,96.13525938759285,163.21382066261486,106
815,1750.0,1832.312484389655,1653.4269026132022,1750.0,118.0,3.0,46.763731160089236,209.9775518227041,106
816,,,,,,,22.26179875333927,232.23935057604336,106
817,1671.5116279069766,1250.0,1671.5116279069766,1250.0,70.0,4.0,11.130899376669635,11.130899376669635,107
818,1656.421781218913,1500.0,1671.5116279069766,1250.0,86.0,4.0,55.94766189835239,67.07856127502203,107
