,xst,yst,xin,yin,exitcell,exitface,dtau,tsum,line
39,7309.354342732769,2800.0,7000.0,3267.0406455279694,54.0,2.0,2195.717004671578,7485.536564500846,3
40,7470.392649879475,2100.0,7309.354342732769,2800.0,43.0,2.0,1889.3137367367178,9374.850301237564,3
41,7553.008209754083,1400.0,7470.392649879475,2100.0,32.0,2.0,1162.9584901757555,10537.80879141332,3
42,7612.499999999989,700.0,7553.008209754083,1400.0,21.0,2.0,715.8307498354849,11253.639541248804,3
43,,,,,,,279.2520035618878,11532.89154481069,3
44,4200.0,3893.75,4200.0,3893.75,60.0,3.0,69.81300089047195,69.81300089047195,4
45,4900.0,3946.971715063141,4200.0,3893.75,61.0,3.0,404.9730681855913,474.7860690760632,4
46,5600.0,4021.0237471609585,4900.0,3946.971715063141,62.0,3.0,811.0714884048917,1285.857557480955,4
47,6300.0,4133.840360530142,5600.0,4021.0237471609585,63.0,3.0,1391.3907818832824,2677.2483393642374,4
48,6559.774110766351,4200.0,6300.0,4133.840360530142,64.0,4.0,745.2347085482053,3422.4830479124425,4
49,7000.0,4432.9593544719155,6559.774110766351,4200.0,75.0,3.0,1867.3365119167304,5289.819559829173,4
50,7309.354342732864,4900.0,7000.0,4432.9593544719155,76.0,4.0,2195.717004672378,7485.536564501552,4
51,7470.392649879527,5600.0,7309.354342732864,4900.0,87.0,4.0,1889.3137367367492,9374.8503012383,4
52,7553.008209754115,6300.0,7470.392649879527,5600.0,98.0,4.0,1162.9584901757555,10537.808791414056,4
53,7612.500000000008,7000.0,7553.008209754115,6300.0,109.0,4.0,715.8307498354849,11253.63954124954,4
54,,,,,,,279.2520035618878,11532.891544811428,4
55,4200.0,3981.25,4200.0,3981.25,60.0,3.0,69.81300089047195,69.81300089047195,5
56,4900.0,4140.915145189429,4200.0,3981.25,61.0,3.0,404.9730681855913,474.7860690760632,5
57,5172.9138683680485,4200.0,4900.0,4140.915145189429,62.0,4.0,264.3158775393669,739.10194661543,5
58,5600.0,4399.619674887885,5172.9138683680485,4200.0,73.0,3.0,746.0997106009494,1485.2016572163793,5
59,6300.0,4742.270493689187,5600.0,4399.619674887885,74.0,3.0,1608.1093953094032,3093.3110525257825,5
60,6508.914344797565,4900.0,6300.0,4742.270493689187,75.0,4.0,630.9621855360705,3724.273238061853,5
61,7000.0,5572.884603913155,6508.914344797565,4900.0,86.0,3.0,2032.9788353659258,5757.252073427779,5
62,7011.177949638515,5600.0,7000.0,5572.884603913155,87.0,4.0,57.22855100928264,5814.480624437061,5
63,7259.024629262305,6300.0,7011.177949638515,5600.0,98.0,4.0,1162.9584901757555,6977.439114612816,5
64,7437.500000000002,7000.0,7259.024629262305,6300.0,109.0,4.0,715.8307498354849,7693.269864448302,5
65,,,,,,,279.2520035618878,7972.52186801019,5
66,4200.0,4068.75,4200.0,4068.75,60.0,3.0,69.81300089047195,69.81300089047195,6
67,4678.283632420992,4200.0,4200.0,4068.75,61.0,4.0,239.1408234726544,308.9538243631264,6
68,4900.0,4427.89209463808,4678.283632420992,4200.0,72.0,3.0,331.29411764705804,640.2479420101845,6
69,5600.0,4826.438482212297,4900.0,4427.89209463808,73.0,3.0,1162.5169626837996,1802.7649046939841,6
70,5731.097406430572,4900.0,5600.0,4826.438482212297,74.0,4.0,258.02120002960294,2060.786104723587,6
71,6300.0,5401.88086247422,5731.097406430572,4900.0,85.0,3.0,1566.8715167490018,3627.6576214725887,6
72,6462.556941439562,5600.0,6300.0,5401.88086247422,86.0,4.0,512.6344015060365,4140.292022978625,6
73,6940.208008829368,6300.0,6462.556941439562,5600.0,97.0,4.0,1539.1422100774566,5679.434233056081,6
74,7000.0,6359.791991170632,6940.208008829368,6300.0,108.0,3.0,117.87109309064083,5797.305326146722,6
75,7259.110529311239,7000.0,7000.0,6359.791991170632,109.0,4.0,637.9302447240666,6435.235570870789,6
76,,,,,,,279.2520035618878,6714.487574432677,6
77,4200.0,4156.25,4200.0,4156.25,60.0,3.0,69.81300089047195,69.81300089047195,7
78,4359.427877473664,4200.0,4200.0,4156.25,61.0,4.0,67.9416183294681,137.75461921994005,7
79,4900.0,4738.654041871825,4359.427877473664,4200.0,72.0,3.0,783.0588235294073,920.8134427493474,7
80,5171.437357587478,4900.0,4900.0,4738.654041871825,73.0,4.0,414.05142710848764,1334.864869857835,7
81,5600.0,5328.562642412522,5171.437357587478,4900.0,84.0,3.0,1048.1183009749295,2382.9831708327647,7
82,5900.262105738388,5600.0,5600.0,5328.562642412522,85.0,4.0,765.1382087792183,3148.121379611983,7
